strategy,strategy_label,mean_full_start_delay_s,p95_full_start_delay_s,max_full_start_delay_s,last_completion_s,makespan_s,accounting_window_s,useful_node_seconds,facility_energy_mwh,nonproductive_hold_energy_mwh,generator_only_trajectory_valid,generator_only_fleet_fuel_kg,max_up_ramp_mw_s,max_down_ramp_mw_s,max_abs_ramp_mw_s,p95_abs_ramp_mw_s,p99_abs_ramp_mw_s,p99_event_abs_ramp_mw_s,max_10s_abs_ramp_mw_s,seconds_above_1_mw_s,bess_tau_s,bess_power_rating_mw,bess_energy_kwh,bess_equivalent_duration_s,bess_equivalent_c_rate,buffered_gt_max_ramp_mw_s,frequency_nadir_hz,frequency_zenith_hz,frequency_oob_s,first_trip_s,exhaust_temp_min_c,exhaust_temp_max_c,exhaust_temp_range_k,max_abs_temp_rate_k_s,p99_abs_temp_rate_k_s,p99_event_abs_temp_rate_k_s,total_temp_variation_k,max_thermal_proxy_pu,torque_min_kNm,torque_max_kNm,torque_range_kNm,torsional_damage_hcf,torsional_damage_lcf,scenario,peak_active_nodes,max_additional_delay_s,within_max_delay_allowance,completion_extension_s,feasible_policy_count,best_operating_cost,best_tau_s,best_fleet_fuel_kg,best_battery_peak_mw,best_battery_loss_mwh,best_battery_throughput_mwh,best_frequency_nadir_hz,best_frequency_zenith_hz,best_terminal_energy_error_kwh
immediate,Immediate activation,53.333333333333336,240.0,240.0,840.0,720.0,1080.0,1752000.0,7.772753632709751,0.0,True,1727.179660814108,5.901802721088433,-5.301020408163268,5.901802721088433,0.0,0.0,5.883779251700679,0.5901802721088434,2.0,10.0,5.365275200989487,16.39389644747014,11.00000000000152,327.27272727268206,0.5365275200989466,58.57969306588102,60.87098571945207,8.150000000000048,,472.32681419701305,517.85,45.52318580298697,27.573640395779062,1.6649100221050193,19.11421996703049,115.04488375702704,0.6506299219135291,,,,,,busy,9472.0,0.0,True,0.0,1,433.2937225165965,20.0,1727.6454694810425,5.620764496274699,0.0035421715313469744,0.06911775731679615,59.67808348795148,60.0,0.0
wave-512,Fixed wave: 512 nodes/s,55.666666666666664,240.0,240.0,840.0,720.0,1080.0,1752000.0,7.772753632709751,0.0,True,1727.1762777465465,1.1308843537414965,-1.1308843537414965,1.1308843537414965,0.0,0.2677898809523829,1.1308843537414965,0.5901802721088434,9.0,10.0,4.286941445894293,16.393896447470162,13.766931028977682,261.49618912322916,0.42869414458942856,59.36274006355115,60.29697482376052,1.2999999999999972,,472.32681419700964,517.85,45.52318580299038,9.775973959972918,3.196051360052385,9.117175973859077,91.04637160597736,0.641542826569258,,,,,,busy,9472.0,4.0,True,0.0,2,432.54389614035074,10.0,1727.4108742685448,4.286941445894289,0.0017710857657927998,0.034558878660726086,59.66629914606487,60.00075206793141,0.0
wave-256,Fixed wave: 256 nodes/s,58.22222222222222,240.0,240.0,840.0,720.0,1080.0,1752000.0,7.772753632709751,0.0,True,1727.1762777466952,0.56544217687075,-0.56544217687075,0.56544217687075,0.0,0.5654421768707465,0.56544217687075,0.5654421768707483,0.0,10.0,3.474397400178052,16.39389644747021,16.98655059086455,211.93237442427525,0.34743974001780487,59.47033493010496,60.19539811952284,0.0,,472.32681419700964,517.85,45.52318580299038,6.026988194709938,4.548743196046619,5.817088850441802,91.04637160597736,0.6415428265692567,,,,,,busy,9472.0,9.0,True,0.0,3,432.16898278864045,5.0,1727.2935760081327,2.370600542523672,0.000885542882896381,0.017279439330362634,59.599591331234954,60.05320957493261,0.0
wave-226,Fixed wave: 226 nodes/s,59.111111111111114,240.0,240.0,840.0,720.0,1080.0,1752000.0,7.772753632709751,0.0,True,1727.1762777466706,0.49917942176870866,-0.49917942176870866,0.49917942176870866,0.0,0.49917942176870866,0.49917942176870866,0.4991794217687076,0.0,10.0,3.3209362532308404,16.393896447470134,17.771502585596334,202.57150360025116,0.3320936253230826,59.48296625086395,60.167545473538034,0.0,,472.32681419700964,517.85,45.52318580299038,5.39214770997389,4.503392569912782,5.247167342525137,91.04637160597736,0.6415428265692588,,,,,,busy,9472.0,11.0,True,0.0,5,431.79406943666766,0.0,1727.1762777466706,0.0,0.0,0.0,59.48296625086395,60.167545473538034,0.0
reuse-226,Reuse + 226 new nodes/s,59.111111111111114,240.0,240.0,840.0,720.0,1080.0,1752000.0,7.772753632709751,0.0,True,1727.1762777466706,0.49917942176870866,-0.49917942176870866,0.49917942176870866,0.0,0.49917942176870866,0.49917942176870866,0.4991794217687076,0.0,10.0,3.3209362532308404,16.393896447470134,17.771502585596334,202.57150360025116,0.3320936253230826,59.48296625086395,60.167545473538034,0.0,,472.32681419700964,517.85,45.52318580299038,5.39214770997389,4.503392569912782,5.247167342525137,91.04637160597736,0.6415428265692588,,,,,,busy,9472.0,11.0,True,0.0,5,431.79406943666766,0.0,1727.1762777466706,0.0,0.0,0.0,59.48296625086395,60.167545473538034,0.0
