strategy,tau_s,battery_peak_mw,battery_energy_swing_kwh,battery_charge_mwh,battery_discharge_mwh,battery_throughput_mwh,battery_loss_mwh,terminal_energy_error_kwh,battery_saturation_s,generator_max_ramp_mw_s,generator_ramp_violation_s,generator_reserve_violation_s,power_balance_error_mw,frequency_nadir_hz,frequency_zenith_hz,fleet_fuel_kg,mechanical_peak_mw,operating_cost,dynamic_screened,feasible,rejection_reason,scenario,hardware,max_additional_delay_s
wave-512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1308843537414965,10.0,0.0,0.0,59.36274006355115,60.29697482376052,1727.1762777465465,28.517015922824065,431.7940694366366,True,False,generator_ramp_violation_s;frequency_band,busy,6MW-1p5MWh,4.0
wave-512,2.0,1.96392262254696,3.451346620519713,0.0036329964426534875,0.003278779289493957,0.0069117757321474444,0.00035421715315867204,0.0,0.0,0.98196131127348,10.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,6MW-1p5MWh,4.0
wave-512,5.0,3.3820364771422966,8.628366551298171,0.009082491106627505,0.0081969482237348,0.017279439330362308,0.0008855428828963646,0.0,0.0,0.6764072954284615,7.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,6MW-1p5MWh,4.0
wave-512,10.0,4.286941445894289,17.25673310259712,0.018164982213257633,0.01639389644746845,0.034558878660726086,0.0017710857657927998,0.0,0.0,0.42869414458942856,0.0,0.0,0.0,59.66629914606487,60.00075206793141,1727.4108742685448,28.22788436904794,432.54389614035074,True,True,,busy,6MW-1p5MWh,4.0
wave-512,20.0,4.898588932463017,34.51346620306484,0.03632996442428217,0.03278779289291153,0.0691177573171937,0.003542171531367347,0.0,0.0,0.24492944662314997,0.0,0.0,0.0,59.678083487950566,60.0,1727.6454694148376,28.227884368690578,433.29372250005326,True,True,,busy,6MW-1p5MWh,4.0
wave-512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1308843537414965,10.0,0.0,0.0,59.36274006355115,60.29697482376052,1727.1762777465465,28.517015922824065,431.7940694366366,True,False,generator_ramp_violation_s;frequency_band,busy,2MW-0p5MWh,4.0
wave-512,2.0,1.96392262254696,3.4513466205195744,0.0036329964426519224,0.003278779289493957,0.006911775732145879,0.0003542171531585938,0.0,0.0,0.98196131127348,10.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,2MW-0p5MWh,4.0
wave-512,5.0,2.0,7.3602134961286705,0.00774759315382052,0.0069922028213231305,0.01473979597514365,0.0007553903324975065,0.0,11.0,1.1308843537414965,6.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,2MW-0p5MWh,4.0
wave-512,10.0,2.0,13.492314961777051,0.014202436801870624,0.012817699213688761,0.027020136015559387,0.0013847375881824134,0.0,21.0,1.1308843537414965,6.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,2MW-0p5MWh,4.0
wave-512,20.0,2.0,25.66851764135561,0.027019492254059054,0.02438509175928742,0.05140458401334647,0.0026344004947707117,0.0,43.0,1.1308843537414965,6.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,2MW-0p5MWh,4.0
wave-512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1308843537414965,10.0,0.0,0.0,59.36274006355115,60.29697482376052,1727.1762777465465,28.517015922824065,431.7940694366366,True,False,generator_ramp_violation_s;frequency_band,busy,4MW-1MWh,4.0
wave-512,2.0,1.96392262254696,3.4513466205194354,0.0036329964426507822,0.003278779289493957,0.006911775732144739,0.00035421715315853684,0.0,0.0,0.98196131127348,10.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,4MW-1MWh,4.0
wave-512,5.0,3.3820364771422966,8.628366551298615,0.009082491106630123,0.0081969482237348,0.017279439330364924,0.0008855428828964955,0.0,0.0,0.6764072954284615,7.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,4MW-1MWh,4.0
wave-512,10.0,4.0,17.137127044979607,0.01803908109997901,0.016280270692731337,0.03431935179271035,0.001758810407247968,0.0,3.0,0.7156355904837177,1.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,4MW-1MWh,4.0
wave-512,20.0,4.0,33.58512111586664,0.03535275906933421,0.031905865060073035,0.06725862412940725,0.003446894009260028,0.0,10.0,1.1308843537414965,2.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,4MW-1MWh,4.0
wave-256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56544217687075,19.0,0.0,0.0,59.47033493010496,60.19539811952284,1727.1762777466952,28.40133099899454,431.7940694366738,True,False,generator_ramp_violation_s,busy,6MW-1p5MWh,9.0
wave-256,2.0,1.1112730888897424,3.451346620519491,0.003632996442653466,0.0032787792894939678,0.006911775732147433,0.00035421715315867155,0.0,0.0,0.5556365444448694,10.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,6MW-1p5MWh,9.0
wave-256,5.0,2.370600542523672,8.628366551298615,0.009082491106627878,0.008196948223734755,0.017279439330362634,0.000885542882896381,0.0,0.0,0.47412010850473507,0.0,0.0,0.0,59.599591331234954,60.05320957493261,1727.2935760081327,28.227884369047878,432.16898278864045,True,True,,busy,6MW-1p5MWh,9.0
wave-256,10.0,3.474397400178045,17.2567331025979,0.01816498221325943,0.01639389644746845,0.034558878660727876,0.0017710857657928898,0.0,0.0,0.34743974001780487,0.0,0.0,0.0,59.66709606014107,60.00077660678831,1727.4108742686333,28.227884369047352,432.54389614037285,True,True,,busy,6MW-1p5MWh,9.0
wave-256,20.0,4.393881485674381,34.51346620328499,0.03632996442451392,0.03278779289312007,0.06911775731763399,0.0035421715313899097,0.0,0.0,0.21969407428371923,0.0,0.0,0.0,59.678083487949536,60.0,1727.6454693185774,28.227884368727416,433.293722475997,True,True,,busy,6MW-1p5MWh,9.0
wave-256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56544217687075,19.0,0.0,0.0,59.47033493010496,60.19539811952284,1727.1762777466952,28.40133099899454,431.7940694366738,True,False,generator_ramp_violation_s,busy,2MW-0p5MWh,9.0
wave-256,2.0,1.1112730888897424,3.451346620519491,0.003632996442651911,0.0032787792894939678,0.006911775732145879,0.0003542171531585938,0.0,0.0,0.5556365444448694,10.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,2MW-0p5MWh,9.0
wave-256,5.0,2.0,8.32444536175933,0.008762574065009635,0.007908223093672251,0.016670797158681888,0.0008543509713384949,0.0,8.0,0.56544217687075,6.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,2MW-0p5MWh,9.0
wave-256,10.0,2.0,14.532865329151823,0.015297752978055329,0.01380622206269485,0.029103975040750178,0.00149153091536039,0.0,22.0,0.56544217687075,9.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,2MW-0p5MWh,9.0
wave-256,20.0,2.0,26.721491059949614,0.028127885326263473,0.025385416506951867,0.05351330183321534,0.00274246881931064,0.0,44.0,0.56544217687075,11.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,2MW-0p5MWh,9.0
wave-256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56544217687075,19.0,0.0,0.0,59.47033493010496,60.19539811952284,1727.1762777466952,28.40133099899454,431.7940694366738,True,False,generator_ramp_violation_s,busy,4MW-1MWh,9.0
wave-256,2.0,1.1112730888897424,3.4513466205197685,0.0036329964426511843,0.0032787792894939678,0.006911775732145152,0.0003542171531585575,0.0,0.0,0.5556365444448694,10.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,4MW-1MWh,9.0
wave-256,5.0,2.370600542523672,8.628366551298894,0.00908249110663007,0.008196948223734755,0.017279439330364826,0.0008855428828964905,0.0,0.0,0.47412010850473507,0.0,0.0,0.0,59.599591331234954,60.05320957493261,1727.2935760081332,28.227884369047878,432.1689827886406,True,True,,busy,4MW-1MWh,9.0
wave-256,10.0,3.474397400178045,17.256733102597565,0.018164982213259215,0.01639389644746845,0.03455887866072767,0.0017710857657928791,0.0,0.0,0.34743974001780487,0.0,0.0,0.0,59.66709606014107,60.00077660678831,1727.4108742686328,28.227884369047352,432.54389614037274,True,True,,busy,4MW-1MWh,9.0
wave-256,20.0,4.0,34.231657054654804,0.03603332321542431,0.032520074201922176,0.06855339741734648,0.0035132490135039614,0.0,5.0,0.5654421768707465,1.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,4MW-1MWh,9.0
