strategy,strategy_label,mean_full_start_delay_s,p95_full_start_delay_s,makespan_s,max_up_ramp_mw_s,max_down_ramp_mw_s,max_abs_ramp_mw_s,p95_abs_ramp_mw_s,p99_abs_ramp_mw_s,p99_event_abs_ramp_mw_s,max_10s_abs_ramp_mw_s,seconds_above_1_mw_s,bess_tau_s,bess_power_rating_mw,bess_energy_kwh,bess_equivalent_duration_s,bess_equivalent_c_rate,buffered_gt_max_ramp_mw_s,frequency_nadir_hz,frequency_zenith_hz,frequency_oob_s,frequency_below_trip_s,exhaust_temp_min_c,exhaust_temp_max_c,exhaust_temp_range_k,max_abs_temp_rate_k_s,p99_abs_temp_rate_k_s,p99_event_abs_temp_rate_k_s,total_temp_variation_k,max_thermal_proxy_pu,torque_min_kNm,torque_max_kNm,torque_range_kNm,torsional_damage_hcf,torsional_damage_lcf
immediate,Immediate activation,0.0,0.0,780.0,6.18452380952381,-5.301020408163264,6.18452380952381,0.0,0.0,6.158018707482993,0.618452380952381,2.0,10.0,5.622294372294373,17.179232802234644,10.99999999872056,327.2727273107933,0.562229437229437,58.65615239365458,60.78923123526771,4.3,0.0,343.9850782662771,411.5242845453678,67.53920627909065,26.88017237362601,4.406445432997421,11.472918148394974,153.14714980372946,0.3837440704225668,10.512979305564087,27.43387264434928,16.92089333878519,2.55865292859641e-23,2.7528922791250763e-12
wave-512,Fixed wave: 512 nodes/s,2.7777777777777777,5.0,784.0,1.1308843537414965,-1.1308843537414965,1.1308843537414965,0.0,0.7700615646258564,1.1308843537414965,0.618452380952381,9.0,10.0,4.379130442464199,17.179232802676744,14.122721143432093,254.90838227548056,0.43791304424641986,59.389580273040835,60.26808105742064,0.9500000000000001,0.0,343.9850782662771,411.52428454536823,67.5392062790911,9.303364146840067,5.7662993053469025,7.782882904158173,135.0784125578184,0.38374407042256775,14.102284762881677,22.733363178578788,8.631078415697111,8.023528183027675e-37,1.5235657290940219e-12
wave-256,Fixed wave: 256 nodes/s,5.888888888888889,10.0,789.0,0.56544217687075,-0.56544217687075,0.56544217687075,0.0,0.5654421768707483,0.56544217687075,0.5654421768707483,0.0,10.0,3.6404540372676166,17.179232802939243,16.988330976704187,211.91016380223692,0.3640454037267613,59.46366093402789,60.18935453574051,0.0,0.0,343.9850782662771,411.524284545368,67.53920627909088,5.801880240751416,5.003680472176565,5.463887173387274,135.078412557943,0.38374407042256753,14.23814768420246,22.753894199773292,8.515746515570832,6.6374142588247e-38,1.5027568385462136e-12
ramp-aware-0p5,Completion-aware: 0.5 MW/s,6.888888888888889,11.6,790.0,0.49917942176870866,-0.49917942176870866,0.49917942176870866,0.0,0.4991794217687069,0.49917942176870866,0.4991794217687076,0.0,10.0,3.4012547442636105,17.179232802955116,18.183065586293875,197.98641669717273,0.34012547442636,59.49116983499803,60.17091207175681,0.0,0.0,343.9850782662771,411.5242845453678,67.53920627909065,5.272160212548442,4.691427324696859,4.955444201196587,135.07841255795256,0.38374407042256675,14.222434706078827,22.637352883635586,8.414918177556759,1.5510135451974125e-36,1.4967403408736094e-12
