t_s,t_after_step_s,delta_rad,omega_pu,freq_hz,speed_rpm,Pm_mw,Pm_pu,Pe_mw,Pe_pu,Pe_demand_mw,valve_pu,P_fuel_pu,fsrn_pu,fsra_pu,fsrt_pu,fsr_pu,fuel_kg_s,cum_fuel_kg,active_branch
0.26,-4.74,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848613105,0.5484848484848485,0.7784778821960817,0.20240424937098125,0
0.28,-4.72,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848620323,0.5484848484848485,0.7784778821960817,0.2179738070149029,0
0.3,-4.7,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848620304,0.5484848484848485,0.7784778821960817,0.2335433646588245,0
0.32,-4.68,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.552748484861254,0.5484848484848485,0.7784778821960817,0.24911292230274615,0
0.34,-4.66,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848596923,0.5484848484848485,0.7784778821960817,0.26468247994666777,0
0.36,-4.64,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.552748484857374,0.5484848484848485,0.7784778821960817,0.28025203759058936,0
0.38,-4.62,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.552748484854368,0.5484848484848485,0.7784778821960817,0.295821595234511,0
0.4,-4.6,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848507828,0.5484848484848485,0.7784778821960817,0.31139115287843266,0
0.42,-4.58,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848467665,0.5484848484848485,0.7784778821960817,0.32696071052235426,0
0.44,-4.56,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848425074,0.5484848484848485,0.7784778821960817,0.3425302681662759,0
0.46,-4.54,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848382334,0.5484848484848485,0.7784778821960817,0.35809982581019756,0
0.48,-4.52,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848342121,0.5484848484848485,0.7784778821960817,0.37366938345411915,0
0.5,-4.5,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848307511,0.5484848484848485,0.7784778821960817,0.3892389410980408,0
0.52,-4.48,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848281976,0.5484848484848485,0.7784778821960817,0.40480849874196245,0
0.54,-4.46,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848269388,0.5484848484848485,0.7784778821960817,0.4203780563858841,0
0.56,-4.4399999999999995,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848274017,0.5484848484848485,0.7784778821960817,0.43594761402980575,0
0.58,-4.42,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848300528,0.5484848484848485,0.7784778821960817,0.4515171716737273,0
0.6,-4.4,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848353986,0.5484848484848485,0.7784778821960817,0.46708672931764894,0
0.62,-4.38,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484876018063,0.5484848484848485,0.7784778821960817,0.4826562869615706,0
0.64,-4.36,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485087462346,0.5484848484848485,0.7784778821960817,0.49822584460549224,0
0.66,-4.34,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485397530867,0.5484848484848485,0.7784778821960817,0.5137954022494139,0
0.68,-4.32,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485696726196,0.5484848484848485,0.7784778821960817,0.5293649598933355,0
0.7000000000000001,-4.3,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485902452743,0.5484848484848485,0.7784778821960817,0.5449345175372572,0
0.72,-4.28,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.552748595901675,0.5484848484848485,0.7784778821960817,0.5605040751811787,0
0.74,-4.26,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485837626295,0.5484848484848485,0.7784778821960817,0.5760736328251004,0
0.76,-4.24,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.552748553639129,0.5484848484848485,0.7784778821960817,0.591643190469022,0
