t_s,t_after_step_s,delta_rad,omega_pu,freq_hz,speed_rpm,Pm_mw,Pm_pu,Pe_mw,Pe_pu,Pe_demand_mw,valve_pu,P_fuel_pu,fsrn_pu,fsra_pu,fsrt_pu,fsr_pu,fuel_kg_s,cum_fuel_kg
12.5,7.5,-11.839130232426044,0.9983649990421631,59.90189994252979,3594.1139965517873,14.011484599867252,0.609194982602924,13.965664979885426,0.6072028252124099,14.0,0.6256057511846137,0.6246066299583591,0.6255611954380433,0.6265272987618099,0.628859279358809,0.6255611954380433,0.8865193775886906,10.47837535873313
12.55,7.550000000000001,-11.869782240744529,0.9983826898026454,59.90296138815873,3594.177683289524,14.011360552490029,0.6091895892386969,13.966036485855556,0.6072189776458937,14.0,0.6255909791358016,0.6246026938380893,0.6255469017878731,0.6265133350055345,0.6288444799606167,0.6255469017878731,0.8865137909574825,10.522701187946785
12.600000000000001,7.600000000000001,-11.90010259267349,0.9984001892211735,59.904011353270405,3594.240681196224,14.011237790589933,0.6091842517647797,13.966403973644642,0.607234955375854,14.0,0.6255763657589761,0.6245987999438292,0.6255327620654522,0.6264989705282641,0.6288298395971322,0.6255327620654522,0.8865082642586767,10.56702673932719
12.65,7.65,-11.930094875586697,0.9984174993459375,59.90504996075625,3594.302997645375,14.01111630246962,0.6091789696725922,13.96676748626469,0.6072507602723778,14.0,0.6255619094921604,0.6245949476360466,0.6255187748204868,0.6264858656046844,0.6288153567663328,0.6255187748204868,0.8865027965845697,10.61135201584827
12.700000000000001,7.700000000000001,-11.959762638448328,0.9984346222042493,59.90607733225496,3594.3646399352974,14.010996077781293,0.6091737425122302,13.967127066289237,0.6072663941864885,14.0,0.6255476088059033,0.6245911363348519,0.6255049386076992,0.6264735590176077,0.6288010299738214,0.6255049386076992,0.8864973871121099,10.655677020440688
12.75,7.75,-11.989109392200355,0.9984515598031651,59.90709358818991,3594.4256152913945,14.01087710718481,0.6091685698776005,13.96748275586647,0.6072818589507161,14.0,0.6255334621948245,0.6245873655131093,0.6254912519826518,0.6264591613906931,0.6287868577279906,0.6254912519826518,0.8864920350931209,10.700001755995817
12.8,7.800000000000001,-12.018138610139633,0.9984683141299808,59.90809884779885,3594.4859308679306,14.01075938204534,0.6091634513932757,13.967834596729597,0.6072971563795477,14.0,0.6255194681705548,0.6245836346894739,0.6254777134987991,0.6264467718656581,0.6287728385365644,0.6254777134987991,0.8864867398444178,10.744326225369257
12.850000000000001,7.850000000000001,-12.046853728286466,0.9984848871526121,59.909093229156724,3594.5455937494035,14.010642894170429,0.6091583867030621,13.968182630204854,0.6073122882697762,14.0,0.6255056252560249,0.6245799434215663,0.6254643217056378,0.6264328481821684,0.6287589709046859,0.6254643217056378,0.8864815007381213,10.788650431383822
12.9,7.9,-12.075258145747224,0.9985012808198792,59.910076849192755,3594.6046109515655,14.01052763558913,0.6091533754603969,13.968526897217465,0.6073272564007594,14.0,0.6254919319809762,0.6245762912994499,0.625451075147784,0.6264203704255129,0.6287452533333423,0.625451075147784,0.8864763171923978,10.832974376832084
12.950000000000001,7.950000000000001,-12.103355225072164,0.998517497061711,59.91104982370266,3594.6629894221596,14.010413598369631,0.6091484173204187,13.968867438295932,0.6073420625346058,14.0,0.6254783868786096,0.6245726779395379,0.625437972364833,0.6264068039406577,0.6287316843191868,0.625437972364833,0.8864711886628136,10.877298064478465
