t_s,t_after_step_s,delta_rad,omega_pu,freq_hz,speed_rpm,Pm_mw,Pm_pu,Pe_mw,Pe_pu,Pe_demand_mw,valve_pu,P_fuel_pu,fsrn_pu,fsra_pu,fsrt_pu,fsr_pu,fuel_kg_s,cum_fuel_kg
0.0,-5.0,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848484848,0.5484848484848485,0.7784778821960817,0.0
0.05,-4.95,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848484848,0.5484848484848485,0.7784778821960817,0.03892389410980409
0.1,-4.9,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848484848,0.5484848484848485,0.7784778821960817,0.07784778821960818
0.15000000000000002,-4.85,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848504466,0.5484848484848485,0.7784778821960817,0.11677168232941228
0.2,-4.8,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848559058,0.5484848484848485,0.7784778821960817,0.15569557643921636
0.25,-4.75,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848607047,0.5484848484848485,0.7784778821960817,0.19461947054902043
0.30000000000000004,-4.7,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848620304,0.5484848484848485,0.7784778821960817,0.23354336465882455
0.35000000000000003,-4.65,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848586244,0.5484848484848485,0.7784778821960817,0.27246725876862865
0.4,-4.6,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848507828,0.5484848484848485,0.7784778821960817,0.3113911528784327
0.45,-4.55,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848403564,0.5484848484848485,0.7784778821960817,0.3503150469882368
0.5,-4.5,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848307511,0.5484848484848485,0.7784778821960817,0.38923894109804086
0.55,-4.45,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848269268,0.5484848484848485,0.7784778821960817,0.428162835207845
0.6000000000000001,-4.4,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848353986,0.5484848484848485,0.7784778821960817,0.4670867293176491
0.65,-4.35,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485237642678,0.5484848484848485,0.7784778821960817,0.5060106234274532
0.7000000000000001,-4.3,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485902452743,0.5484848484848485,0.7784778821960817,0.5449345175372573
