3	1.7125
6	1.7025
9	1.69
12	1.705
15	1.7249999999999999
18	1.7399999999999995
21	1.7399999999999995
24	1.7525
27	1.7674999999999998
30	1.7674999999999998
33	1.7625
36	1.7725
39	1.7799999999999998
42	1.775
45	1.755
48	1.7474999999999998
51	1.7399999999999995
54	1.7449999999999999
57	1.7525
60	1.7599999999999996
63	1.7574999999999998
66	1.7574999999999998
69	1.7625
72	1.7774999999999999
75	1.785
78	1.775
81	1.7825
84	1.7799999999999998
87	1.77
90	1.7674999999999998
93	1.7674999999999998
96	1.765
99	1.7725
102	1.765
105	1.75
108	1.75
111	1.7474999999999998
114	1.7449999999999999
117	1.7425
120	1.7399999999999995
123	1.7199999999999995
126	1.715
129	1.7125
132	1.715
135	1.7175000000000002
138	1.715
141	1.7125
144	1.7374999999999998
147	1.7674999999999998
150	1.765
153	1.75
156	1.7374999999999998
159	1.73
162	1.7399999999999995
165	1.7425
168	1.75
171	1.755
174	1.7574999999999998
177	1.765
180	1.7799999999999998
183	1.7874999999999999
186	1.7774999999999999
189	1.7874999999999999
192	1.795
195	1.795
198	1.8125
201	1.82
204	1.815
207	1.8175
210	1.8225
213	1.815
216	1.82
219	1.82
222	1.8175
225	1.82
228	1.8275
231	1.835
234	1.8425
237	1.8425
240	1.8525
243	1.8675
246	1.875
249	1.875
252	1.8825
255	1.8875
258	1.8875
261	1.8825
264	1.8825
267	1.8825
270	1.89
273	1.8925
276	1.895
279	1.8975
282	1.895
285	1.8925
288	1.8925
291	1.895
294	1.895
297	1.895
300	1.895
303	1.895
306	1.895
309	1.8925
312	1.89
315	1.8925
318	1.89
321	1.89
324	1.8975
327	1.9
330	1.9
333	1.8975
336	1.9
339	1.9
342	1.9025
345	1.9
348	1.8975
351	1.8925
354	1.89
357	1.89
360	1.895
363	1.895
366	1.895
369	1.8925
372	1.8925
375	1.89
378	1.89
381	1.8825
384	1.88
387	1.8825
390	1.8825
393	1.8825
396	1.8875
399	1.8825
402	1.8825
405	1.88
408	1.8825
411	1.8825
414	1.8875
417	1.8825
420	1.88
423	1.8775
426	1.8775
429	1.875
432	1.875
435	1.8725
438	1.875
441	1.875
444	1.8725
447	1.875
450	1.87
453	1.8675
456	1.8675
459	1.8725
462	1.87
465	1.8625
468	1.8575
471	1.8575
474	1.84
477	1.8275
480	1.8175
483	1.82
486	1.8125
489	1.8125
492	1.8225
495	1.8275
498	1.8175
501	1.805
504	1.7999999999999998
507	1.7999999999999998
510	1.8025
513	1.805
516	1.8125
519	1.8275
522	1.8325
525	1.8225
528	1.815
531	1.8225
534	1.8075
537	1.8125
540	1.8325
543	1.8325
546	1.83
549	1.83
552	1.83
555	1.835
558	1.85
561	1.87
564	1.8875
567	1.89
570	1.88
573	1.8625
576	1.855
579	1.8575
582	1.8675
585	1.875
588	1.8625
591	1.85
594	1.8475
597	1.845
600	1.8475
603	1.8525
606	1.8575
609	1.8625
612	1.8775
615	1.8825
618	1.895
621	1.8975
624	1.8975
627	1.895
630	1.8925
633	1.885
636	1.89
639	1.8875
642	1.89
645	1.8925
648	1.905
651	1.9075
654	1.9025
657	1.8925
660	1.875
663	1.89
666	1.8925
669	1.885
672	1.8775
675	1.875
678	1.8775
681	1.88
684	1.8925
687	1.8925
690	1.89
693	1.89
696	1.885
699	1.8825
702	1.8825
705	1.885
708	1.89
711	1.8975
714	1.89
717	1.89
720	1.895
723	1.895
726	1.8975
729	1.895
732	1.8925
735	1.8925
738	1.8975
741	1.89
744	1.8875
747	1.885
750	1.88
753	1.8775
756	1.885
759	1.8875
762	1.8925
765	1.8925
768	1.89
771	1.8875
774	1.89
777	1.89
780	1.885
783	1.89
786	1.89
789	1.8875
792	1.89
795	1.8875
798	1.8875
801	1.88
804	1.87
807	1.8625
810	1.8625
813	1.8525
816	1.85
819	1.85
822	1.8525
825	1.8525
828	1.8625
831	1.8725
834	1.87
837	1.875
840	1.8625
843	1.855
846	1.8325
849	1.8175
852	1.8025
855	1.785
858	1.7725
861	1.7525
864	1.7599999999999996
867	1.765
870	1.7674999999999998
873	1.7725
876	1.775
879	1.7774999999999999
882	1.7774999999999999
885	1.7725
888	1.7574999999999998
891	1.7425
894	1.7374999999999998
897	1.7374999999999998
900	1.7625
903	1.765
906	1.7474999999999998
909	1.695
912	1.6625
915	1.64
918	1.62
921	1.605
924	1.6675
927	1.7199999999999995
930	1.705
933	1.69
936	1.7274999999999998
939	1.7075
942	1.6925
945	1.6975000000000002
948	1.7025
951	1.7025
954	1.685
957	1.7
960	1.7199999999999995
963	1.7225
966	1.71
969	1.6925
972	1.6825
975	1.69
978	1.7225
981	1.7399999999999995
984	1.7474999999999998
987	1.7725
990	1.795
993	1.785
996	1.77
999	1.7825
1002	1.805
1005	1.82
1008	1.8475
1011	1.8575
1014	1.85
1017	1.85
1020	1.8475
1023	1.85
1026	1.8575
1029	1.8625
1032	1.8625
1035	1.86
1038	1.855
1041	1.855
1044	1.87
1047	1.8825
1050	1.895
1053	1.9
1056	1.9
1059	1.8975
